plugin,kind,name,source_path,source_sha256,lines,codex_projected_name,codex_discovery_0_154_0,strict_yaml,portability_flags_heuristic,declared_tools,referenced_capabilities_heuristic,existing_relative_links
flow,command,plan,plugins/flow/commands/plan.md,36b3b0d3a2b0c10ebba406bc7eead12ba25170178f20e4495a858e48c2c9349e,412,flow:source-command-plan,discovered,valid,claude_paths; agent_orchestration; question_ui; arguments; kgai; external_expertise; maude_cli,,design:new; flow:debate-protocol; flow:execute; flow:kgai-backend; flow:plan; flow:question-protocol; flow:skill-loader; flow:utils-verify,
flow,command,quick,plugins/flow/commands/quick.md,8ee153546474c5585f38a8ea0c06e0dc2780c26015ab4e45f0ca10476c685e8d,137,flow:source-command-quick,discovered,valid,claude_paths,,flow:breaker; flow:debate-protocol; flow:plan; flow:quality-gates; flow:quick; flow:release-changelog; flow:utils-verify; flow:validate,
flow,command,record-ddr,plugins/flow/commands/record-ddr.md,7edb676568e43e759a8b0b85a24fda77872ae9ef351592cd35e887295e610570,101,flow:source-command-record-ddr,discovered,valid,arguments; kgai; maude_cli,,flow:kgai-backend; flow:record-ddr,
flow,command,record-execution,plugins/flow/commands/record-execution.md,4657bd18ad45265d5459d77e026e61eafaabf0457374906654b1f842efa20189,73,flow:source-command-record-execution,discovered,valid,kgai; maude_cli,,flow:kgai-backend,
flow,command,record-retro,plugins/flow/commands/record-retro.md,10e2ff9b30d7f5a1407ed050e9b722f31897346a5f81d65efa12e0db14e8b04e,77,flow:source-command-record-retro,discovered,invalid,claude_paths; kgai; maude_cli,,flow:kgai-backend,
flow,command,release-changelog,plugins/flow/commands/release-changelog.md,c2da559bbcfb364092c5b65cacd7f181bc932660991aa586c68fb259f7503605,149,flow:source-command-release-changelog,discovered,valid,,,flow:done; flow:init; flow:record-ddr; flow:release; flow:release-changelog,
flow,command,release,plugins/flow/commands/release.md,78d489c133aa3e6bfee4df4906229ac47a433fe9fceb36a7b881a0447b30591e,94,flow:source-command-release,discovered,valid,maude_cli,,flow:init; flow:release,
flow,command,resume,plugins/flow/commands/resume.md,95b38f77214ce1cca172506af6816a4aae57d2d40f523b21ad91fde5fedbe8b5,151,flow:source-command-resume,discovered,valid,kgai; maude_cli,,flow:kgai-backend; flow:pause; flow:setup-codebase-map,
flow,command,review-code,plugins/flow/commands/review-code.md,074c1bd0ccb588cb96dd9e652448a9b3b820d83c52e2e59adf75222a68f13f77,172,flow:source-command-review-code,discovered,valid,agent_orchestration; kgai; maude_cli,,flow:kgai-backend; flow:validate; flow:validate-security,
flow,command,scenario,plugins/flow/commands/scenario.md,f0c36390c660c2d85f61d9958088517e6ed5baa8ce3ca5efdad2839627e2f3c5,79,flow:source-command-scenario,discovered,valid,claude_paths; arguments,,flow:utils-verify,
flow,command,setup-codebase-map,plugins/flow/commands/setup-codebase-map.md,c4aca0cc17ab17efb4d735a0de3078f29241c665ab579951c1ebd94cec8bae59,205,flow:source-command-setup-codebase-map,discovered,valid,claude_paths,,flow:setup-codebase-map,
flow,command,setup-context,plugins/flow/commands/setup-context.md,0b96c587f3309204f3b930a97809ac52c6962200c7845c6cf7f66f18dabcf2f8,158,flow:source-command-setup-context,discovered,valid,claude_paths,,flow:init,
flow,command,setup-prd,plugins/flow/commands/setup-prd.md,e86b82429975d1fc94140902d98fdfcfbe2c3a46ebf4fbe7d2365306774f646d,245,flow:source-command-setup-prd,discovered,valid,agent_orchestration; question_ui; arguments; kgai; maude_cli,,flow:debate-protocol; flow:kgai-backend; flow:pause; flow:question-protocol; flow:resume; flow:setup-prd; flow:shipper; flow:user-advocate,
flow,command,status,plugins/flow/commands/status.md,c2a6854510bba36d661c928bd3d9867e2fb4d4e69417320e9dbe7999252bf61b,319,flow:source-command-status,discovered,valid,kgai; maude_cli,,flow:kgai-backend; flow:status,
